HOG	OG	Gene Tree Parent Clade	53503-Pc.singCopy	uniProt.taxonomy_id_500485
N0.HOG0000966	OG0000829	-	53503-Pc.00g088330.m01.polypeptide.OG0004595	Pc18g03010, Pc06g00850
N0.HOG0000967	OG0000830	-	53503-Pc.00g088340.m01.polypeptide.OG0004596	Pc18g03030, Pc06g00860
N0.HOG0000968	OG0000831	-	53503-Pc.00g091510.m01.polypeptide.OG0004602	Pc06g00440, Pc16g09500
N0.HOG0000969	OG0000832	-	53503-Pc.00g093080.m01.polypeptide.OG0004609	Pc14g00450, Pc22g00580
N0.HOG0000970	OG0000833	-	53503-Pc.00g034250.m01.polypeptide.OG0004617	Pc16g02430, Pc20g00270
N0.HOG0000971	OG0000834	-	53503-Pc.00g034270.m01.polypeptide.OG0004618	Pc15g00170, Pc20g00250
N0.HOG0000972	OG0000835	-	53503-Pc.00g059620.m01.polypeptide.OG0004659	Pc22g19950, Pc12g05520
N0.HOG0000973	OG0000836	-	53503-Pc.00g070810.m01.polypeptide.OG0004682	Pc22g24170, Pc12g08490
N0.HOG0000974	OG0000837	-	53503-Pc.00g001130.m01.polypeptide.OG0004693	Pc16g10500, Pc21g04240
N0.HOG0000975	OG0000838	-	53503-Pc.00g057920.m01.polypeptide.OG0004704	Pc18g03180, Pc20g15370
N0.HOG0000976	OG0000839	-	53503-Pc.00g057940.m01.polypeptide.OG0004705, 53503-Pc.00g071360.m01.polypeptide.OG0004981	Pc14g00280
N0.HOG0000977	OG0000840	-	53503-Pc.00g043090.m01.polypeptide.OG0004710	Pc20g12800, Pc21g01990
N0.HOG0000978	OG0000841	-	53503-Pc.00g067150.m01.polypeptide.OG0004738	Pc20g02850, Pc22g02770
N0.HOG0000979	OG0000842	-	53503-Pc.00g072590.m01.polypeptide.OG0004759	Pc22g02400, Pc06g00210
N0.HOG0000980	OG0000843	-	53503-Pc.00g054970.m01.polypeptide.OG0004777	Pc13g15630, Pc21g13830
N0.HOG0000981	OG0000844	-	53503-Pc.00g098020.m01.polypeptide.OG0004793	Pc13g05060, Pc18g06220
N0.HOG0000982	OG0000845	-	53503-Pc.00g075590.m01.polypeptide.OG0004848	Pc22g18310, Pc13g05830
N0.HOG0000983	OG0000846	-	53503-Pc.00g012960.m01.polypeptide.OG0004878	Pc22g00630, Pc20g03640
N0.HOG0000984	OG0000847	-	53503-Pc.00g049860.m01.polypeptide.OG0004888	Pc22g22580, Pc21g12840
N0.HOG0000985	OG0000848	-	53503-Pc.00g015500.m01.polypeptide.OG0004892	Pc18g02710, Pc21g19590
N0.HOG0000986	OG0000849	-	53503-Pc.00g015320.m01.polypeptide.OG0004900	Pc22g08970, Pc21g19390
N0.HOG0000987	OG0000850	-	53503-Pc.00g085230.m01.polypeptide.OG0004931	Pc22g16210, Pc16g12950
N0.HOG0000988	OG0000851	-	53503-Pc.00g072630.m01.polypeptide.OG0004949	Pc22g02340, Pc13g15760
N0.HOG0000989	OG0000852	-	53503-Pc.00g008410.m01.polypeptide.OG0004973	Pc22g22970, Pc20g08270
N0.HOG0000990	OG0000853	-	53503-Pc.00g086880.m01.polypeptide.OG0004979	Pc16g09020, Pc16g02760
N0.HOG0000991	OG0000854	-	53503-Pc.00g018110.m01.polypeptide.OG0004983	Pc13g08860, Pc16g11920
N0.HOG0000992	OG0000855	-	53503-Pc.00g018100.m01.polypeptide.OG0004984	Pc16g11930, Pc14g01630
N0.HOG0000993	OG0000856	-	53503-Pc.00g081820.m01.polypeptide.OG0005002	Pc22g21170, Pc18g00180
N0.HOG0000994	OG0000857	-	53503-Pc.00g088590.m01.polypeptide.OG0005005	Pc22g16480, Pc22g14960
N0.HOG0000995	OG0000858	-	53503-Pc.00g078000.m01.polypeptide.OG0005052	Pc13g08290, Pc22g25090
N0.HOG0000996	OG0000859	-	53503-Pc.00g075300.m01.polypeptide.OG0005057	Pc13g08420, Pc16g00930
N0.HOG0000997	OG0000860	-	53503-Pc.00g044170.m01.polypeptide.OG0005061	Pc14g00590, Pc22g03940
N0.HOG0000998	OG0000861	-	53503-Pc.00g009510.m01.polypeptide.OG0005076	Pc21g15960, Pc22g25060
N0.HOG0000999	OG0000862	-	53503-Pc.00g001670.m01.polypeptide.OG0006178, 53503-Pc.00g076820.m01.polypeptide.OG0005081	Pc21g03100
N0.HOG0001000	OG0000863	-	53503-Pc.00g033660.m01.polypeptide.OG0005083	Pc16g04390, Pc22g04910
N0.HOG0001001	OG0000864	-	53503-Pc.00g034830.m01.polypeptide.OG0005103	Pc22g21830, Pc22g07050
N0.HOG0001002	OG0000865	-	53503-Pc.00g034940.m01.polypeptide.OG0005113	Pc13g07290, Pc22g07160
N0.HOG0001003	OG0000866	-	53503-Pc.00g054250.m01.polypeptide.OG0005124	Pc22g06830, Pc16g05780
N0.HOG0001004	OG0000867	-	53503-Pc.00g052900.m01.polypeptide.OG0005129	Pc21g19760, Pc22g17110
N0.HOG0001005	OG0000868	-	53503-Pc.00g053010.m01.polypeptide.OG0005134	Pc22g11500, Pc21g19890
N0.HOG0001006	OG0000869	-	53503-Pc.00g021580.m01.polypeptide.OG0005147	Pc22g01600, Pc22g05280
N0.HOG0001007	OG0000870	-	53503-Pc.00g021740.m01.polypeptide.OG0005155	Pc12g01450, Pc22g01400
N0.HOG0001008	OG0000871	-	53503-Pc.00g062430.m01.polypeptide.OG0005193	Pc15g00160, Pc21g23010
N0.HOG0001009	OG0000872	-	53503-Pc.00g080200.m01.polypeptide.OG0005217	Pc12g05310, Pc21g04870
N0.HOG0001010	OG0000873	-	53503-Pc.00g054200.m01.polypeptide.OG0005239	Pc21g19180, Pc15g01240
N0.HOG0001011	OG0000874	-	53503-Pc.00g054060.m01.polypeptide.OG0005245	Pc22g14950, Pc15g01850
N0.HOG0001012	OG0000875	-	53503-Pc.00g057360.m01.polypeptide.OG0005248	Pc20g03490, Pc15g01940
N0.HOG0001013	OG0000876	-	53503-Pc.00g031280.m01.polypeptide.OG0005253	Pc21g18830, Pc06g00610
N0.HOG0001014	OG0000877	-	53503-Pc.00g064740.m01.polypeptide.OG0005285	Pc22g04380, Pc20g11550
N0.HOG0001015	OG0000878	-	53503-Pc.00g074400.m01.polypeptide.OG0005317	Pc16g02050, Pc21g20450
N0.HOG0001016	OG0000879	-	53503-Pc.00g074360.m01.polypeptide.OG0005319, 53503-Pc.00g022340.m01.polypeptide.OG0005527	Pc16g02090
N0.HOG0001017	OG0000880	-	53503-Pc.00g074570.m01.polypeptide.OG0005323	Pc13g01700, Pc16g02150
N0.HOG0001018	OG0000881	-	53503-Pc.00g083240.m01.polypeptide.OG0005326	Pc13g09170, Pc20g00490
N0.HOG0001019	OG0000882	-	53503-Pc.00g060630.m01.polypeptide.OG0005342	Pc12g09670, Pc16g01870
N0.HOG0001020	OG0000883	-	53503-Pc.00g092080.m01.polypeptide.OG0005346	Pc21g23360, Pc16g01910
N0.HOG0001021	OG0000884	-	53503-Pc.00g032710.m01.polypeptide.OG0005349	Pc22g04780, Pc18g00470
N0.HOG0001022	OG0000885	-	53503-Pc.00g032620.m01.polypeptide.OG0005354	Pc16g14220, Pc22g04680
N0.HOG0001023	OG0000886	-	53503-Pc.00g065710.m01.polypeptide.OG0005370	Pc16g14620, Pc20g08180
N0.HOG0001024	OG0000887	-	53503-Pc.00g042010.m01.polypeptide.OG0005384	Pc18g00310, Pc16g13290
N0.HOG0001025	OG0000888	-	53503-Pc.00g042000.m01.polypeptide.OG0005386	Pc20g04720, Pc16g13280
N0.HOG0001026	OG0000889	-	53503-Pc.00g048040.m01.polypeptide.OG0005402	Pc21g16610, Pc22g14330
N0.HOG0001027	OG0000890	-	53503-Pc.00g047950.m01.polypeptide.OG0005406	Pc22g14230, Pc21g22990
N0.HOG0001028	OG0000891	-	53503-Pc.00g024960.m01.polypeptide.OG0005422	Pc22g08870, Pc12g15910
N0.HOG0001029	OG0000892	-	53503-Pc.00g088090.m01.polypeptide.OG0005432	Pc22g09170, Pc24g03040
N0.HOG0001030	OG0000893	-	53503-Pc.00g018680.m01.polypeptide.OG0005445	Pc13g09370, Pc16g13010
N0.HOG0001031	OG0000894	-	53503-Pc.00g081170.m01.polypeptide.OG0005462	Pc21g23660, Pc21g13360
N0.HOG0001032	OG0000895	-	53503-Pc.00g081110.m01.polypeptide.OG0005467	Pc16g03880, Pc21g23720
N0.HOG0001033	OG0000896	-	53503-Pc.00g034500.m01.polypeptide.OG0005486	Pc16g06370, Pc20g07350
N0.HOG0001034	OG0000897	-	53503-Pc.00g014490.m01.polypeptide.OG0005506	Pc22g24150, Pc20g03590
N0.HOG0001035	OG0000898	-	53503-Pc.00g022370.m01.polypeptide.OG0005524	Pc21g04760, Pc18g02180
N0.HOG0001036	OG0000899	-	53503-Pc.00g041250.m01.polypeptide.OG0005546	Pc06g01680, Pc24g00480
N0.HOG0001037	OG0000900	-	53503-Pc.00g041170.m01.polypeptide.OG0005552	Pc12g00130, Pc06g01600
N0.HOG0001038	OG0000901	-	53503-Pc.00g071340.m01.polypeptide.OG0005554	Pc13g08300, Pc14g00300
N0.HOG0001039	OG0000902	-	53503-Pc.00g078790.m01.polypeptide.OG0005588	Pc20g09480, Pc21g13710
N0.HOG0001040	OG0000903	-	53503-Pc.00g069450.m01.polypeptide.OG0005599	Pc21g16410, Pc21g13400
N0.HOG0001041	OG0000904	-	53503-Pc.00g006300.m01.polypeptide.OG0005611	Pc20g01800, Pc13g14410
N0.HOG0001042	OG0000905	-	53503-Pc.00g017820.m01.polypeptide.OG0005621	Pc22g13730, Pc21g22910
N0.HOG0001043	OG0000906	-	53503-Pc.00g073800.m01.polypeptide.OG0005653	Pc22g16040, Pc18g03830
N0.HOG0001044	OG0000907	-	53503-Pc.00g073820.m01.polypeptide.OG0005655	Pc22g13610, Pc18g03810
N0.HOG0001045	OG0000908	-	53503-Pc.00g084860.m01.polypeptide.OG0005669	Pc12g02720, Pc21g18060
N0.HOG0001046	OG0000909	-	53503-Pc.00g090470.m01.polypeptide.OG0005672	Pc21g02640, Pc13g04620
N0.HOG0001047	OG0000910	-	53503-Pc.00g023010.m01.polypeptide.OG0005679	Pc22g11580, Pc12g05280
N0.HOG0001048	OG0000911	-	53503-Pc.00g051560.m01.polypeptide.OG0005684	Pc16g08580, Pc12g12460
N0.HOG0001049	OG0000912	-	53503-Pc.00g007730.m01.polypeptide.OG0005705	Pc16g12470, Pc20g05630
N0.HOG0001050	OG0000913	-	53503-Pc.00g013040.m01.polypeptide.OG0005714	Pc22g00520, Pc16g01080
N0.HOG0001051	OG0000914	-	53503-Pc.00g013170.m01.polypeptide.OG0005719	Pc22g00380, Pc22g01040
N0.HOG0001052	OG0000915	-	53503-Pc.00g002460.m01.polypeptide.OG0005738	Pc13g12580, Pc20g13410
N0.HOG0001053	OG0000916	-	53503-Pc.00g002400.m01.polypeptide.OG0005740	Pc20g13350, Pc12g11930
N0.HOG0001054	OG0000917	-	53503-Pc.00g069340.m01.polypeptide.OG0005752	Pc21g13220, Pc16g09480
N0.HOG0001055	OG0000918	-	53503-Pc.00g072380.m01.polypeptide.OG0005774	Pc22g15220, Pc12g04600
N0.HOG0001056	OG0000919	-	53503-Pc.00g075250.m01.polypeptide.OG0005794	Pc13g08480, Pc22g14110
N0.HOG0001057	OG0000920	-	53503-Pc.00g081220.m01.polypeptide.OG0005798	Pc06g01800, Pc21g08790
N0.HOG0001058	OG0000921	-	53503-Pc.00g029500.m01.polypeptide.OG0005813	Pc16g05410, Pc16g06110
N0.HOG0001059	OG0000922	-	53503-Pc.00g003970.m01.polypeptide.OG0005832	Pc21g09690, Pc21g20210
N0.HOG0001060	OG0000923	-	53503-Pc.00g047040.m01.polypeptide.OG0005850	Pc16g03740, PCH_Pc21g05640
N0.HOG0001061	OG0000924	-	53503-Pc.00g047100.m01.polypeptide.OG0005852	Pc12g03560, Pc21g05560
N0.HOG0001062	OG0000925	-	53503-Pc.00g032520.m01.polypeptide.OG0005886	Pc22g04560, Pc20g04970
N0.HOG0001063	OG0000926	-	53503-Pc.00g044180.m01.polypeptide.OG0005891	Pc22g24600, Pc14g00600
N0.HOG0001064	OG0000927	-	53503-Pc.00g044250.m01.polypeptide.OG0005898	Pc14g00670, Pc21g01700
N0.HOG0001065	OG0000928	-	53503-Pc.00g035120.m01.polypeptide.OG0005905	Pc13g15880, Pc22g24880
N0.HOG0001066	OG0000929	-	53503-Pc.00g088690.m01.polypeptide.OG0005915	Pc21g08430, Pc13g15310
N0.HOG0001067	OG0000930	-	53503-Pc.00g043660.m01.polypeptide.OG0005942	Pc12g01170, Pc13g14430
N0.HOG0001068	OG0000931	-	53503-Pc.00g093880.m01.polypeptide.OG0005956	Pc21g11930, Pc16g04650
N0.HOG0001069	OG0000932	-	53503-Pc.00g035990.m01.polypeptide.OG0005960	Pc20g11330, Pc21g11840
N0.HOG0001070	OG0000933	-	53503-Pc.00g014220.m01.polypeptide.OG0005966	Pc20g03270, Pc22g24340
N0.HOG0001071	OG0000934	-	53503-Pc.00g044350.m01.polypeptide.OG0005976	Pc12g06700, Pc13g07200
N0.HOG0001072	OG0000935	-	53503-Pc.00g063110.m01.polypeptide.OG0005987	Pc12g08060, Pc13g05440
N0.HOG0001073	OG0000936	-	53503-Pc.00g033150.m01.polypeptide.OG0005996	Pc20g03930, Pc12g14680
N0.HOG0001074	OG0000937	-	53503-Pc.00g072490.m01.polypeptide.OG0006014	Pc22g00020, Pc21g02870
N0.HOG0001075	OG0000938	-	53503-Pc.00g056340.m01.polypeptide.OG0006030	Pc22g14450, Pc20g08520
N0.HOG0001076	OG0000939	-	53503-Pc.00g083780.m01.polypeptide.OG0006037	Pc12g15180, Pc22g11540
N0.HOG0001077	OG0000940	-	53503-Pc.00g097090.m01.polypeptide.OG0006058	Pc12g01420, Pc13g05670
N0.HOG0001078	OG0000941	-	53503-Pc.00g037400.m01.polypeptide.OG0006069	Pc20g09270, Pc15g00750
N0.HOG0001079	OG0000942	-	53503-Pc.00g037350.m01.polypeptide.OG0006072	Pc20g03570, Pc20g09210
N0.HOG0001080	OG0000943	-	53503-Pc.00g076300.m01.polypeptide.OG0006084	Pc13g05240, Pc16g11400
N0.HOG0001081	OG0000944	-	53503-Pc.00g047940.m01.polypeptide.OG0006087	Pc12g08610, Pc22g14220
N0.HOG0001082	OG0000945	-	53503-Pc.00g017320.m01.polypeptide.OG0006090	Pc21g16920, Pc13g13820
N0.HOG0001083	OG0000946	-	53503-Pc.00g017370.m01.polypeptide.OG0006094	Pc21g14160, Pc21g16970
N0.HOG0001084	OG0000947	-	53503-Pc.00g080450.m01.polypeptide.OG0006096	Pc12g10470, Pc13g01600
N0.HOG0001085	OG0000948	-	53503-Pc.00g057860.m01.polypeptide.OG0006107	Pc18g03250, Pc12g15320
N0.HOG0001086	OG0000949	-	53503-Pc.00g041280.m01.polypeptide.OG0006118	Pc21g14200, Pc22g06400
N0.HOG0001087	OG0000950	-	53503-Pc.00g042190.m01.polypeptide.OG0006124	Pc12g08990, Pc16g11360
N0.HOG0001088	OG0000951	-	53503-Pc.00g068670.m01.polypeptide.OG0006418, 53503-Pc.00g024880.m01.polypeptide.OG0006128	Pc22g08720
N0.HOG0001089	OG0000952	-	53503-Pc.00g024710.m01.polypeptide.OG0006133	Pc20g13040, Pc22g08480
N0.HOG0001090	OG0000953	-	53503-Pc.00g024770.m01.polypeptide.OG0006137	Pc22g23230, Pc22g08550
N0.HOG0001091	OG0000954	-	53503-Pc.00g024780.m01.polypeptide.OG0006138	Pc21g22840, Pc22g08580
N0.HOG0001092	OG0000955	-	53503-Pc.00g048790.m01.polypeptide.OG0006143	Pc21g02310, Pc21g10380
N0.HOG0001093	OG0000956	-	53503-Pc.00g015670.m01.polypeptide.OG0006153	Pc22g20520, Pc22g07770
N0.HOG0001094	OG0000957	-	53503-Pc.00g001690.m01.polypeptide.OG0006179	Pc21g08690, Pc21g03050
N0.HOG0001095	OG0000958	-	53503-Pc.00g022470.m01.polypeptide.OG0006191	Pc21g04950, Pc18g02040
N0.HOG0001096	OG0000959	-	53503-Pc.00g031090.m01.polypeptide.OG0006209	Pc22g15140, Pc21g09750
N0.HOG0001097	OG0000960	-	53503-Pc.00g036030.m01.polypeptide.OG0006233	Pc22g01970, Pc22g17080
N0.HOG0001098	OG0000961	-	53503-Pc.00g000530.m01.polypeptide.OG0006285	Pc20g14670, Pc21g09480
N0.HOG0001099	OG0000962	-	53503-Pc.00g000650.m01.polypeptide.OG0006287	Pc20g14810, Pc21g17880
N0.HOG0001100	OG0000963	-	53503-Pc.00g032570.m01.polypeptide.OG0006362	Pc22g04620, Pc16g13080
N0.HOG0001101	OG0000964	-	53503-Pc.00g051510.m01.polypeptide.OG0006369	Pc12g12530, Pc20g09790
N0.HOG0001102	OG0000965	-	53503-Pc.00g021030.m01.polypeptide.OG0006390	Pc21g23710, Pc20g11850
N0.HOG0001103	OG0000966	-	53503-Pc.00g027370.m01.polypeptide.OG0006427	Pc20g02610, Pc18g04750
N0.HOG0001104	OG0000967	-		Pc12g13740, Pc22g00860, Pc18g03560
N0.HOG0001105	OG0000968	-		PCH_Pc13g15750, Pc22g00250, Pc22g23200
N0.HOG0001106	OG0000969	-		Pc13g10120, Pc20g11440, Pc22g23110
N0.HOG0001107	OG0000970	-		Pc16g10040, Pc12g14620, Pc13g12030
N0.HOG0001108	OG0000971	-		Pc21g02940, Pc20g03380, Pc15g01160
N0.HOG0001109	OG0000972	-		Pc22g03350, Pc21g09240, Pc18g01170
N0.HOG0001110	OG0000973	-		Pc22g22880, Pc16g00380, Pc20g00240
N0.HOG0001111	OG0000974	-		Pc22g22910, Pc21g17770, Pc21g00940
N0.HOG0001112	OG0000975	-		Pc12g07900, Pc21g14050, Pc21g05470
N0.HOG0001113	OG0000976	-		Pc20g11190, Pc12g16220, Pc22g20690
N0.HOG0001114	OG0000977	-		Pc16g06840, Pc12g13420, Pc21g13810
N0.HOG0001115	OG0000978	-		Pc13g08540, Pc13g00570, Pc06g02210
N0.HOG0001116	OG0000979	-		Pc22g06650, Pc13g03320, Pc14g01770
N0.HOG0001117	OG0000980	-		Pc15g01990, Pc15g02000, Pc15g02020
N0.HOG0001118	OG0000981	-		Pc22g21310, Pc16g05380, Pc24g02570
N0.HOG0001119	OG0000982	-		Pc16g05620, Pc16g05610, Pc22g16810
N0.HOG0001120	OG0000983	-		Pc16g11710, Pc22g00820, PCH_Pc20g07020
N0.HOG0001121	OG0000984	-		Pc22g04610, Pc16g12090, Pc21g13280
N0.HOG0001122	OG0000985	-		Pc22g21120, Pc20g10240, Pc18g04660
N0.HOG0001123	OG0000986	-		Pc18g05230, Pc16g07450, Pc16g05060
N0.HOG0001124	OG0000987	-		Pc13g09210, Pc22g04340, Pc18g05510
N0.HOG0001125	OG0000988	-		Pc14g00540, Pc21g05280, Pc19g00510
N0.HOG0001126	OG0000989	-		Pc21g06390, Pc12g02020, Pc20g04400
N0.HOG0001127	OG0000990	-		Pc24g02660, Pc21g11750, Pc20g04610
N0.HOG0001128	OG0000991	-		Pc20g15620, Pc21g22040, Pc22g05030
N0.HOG0001129	OG0000992	-		Pc20g01940, Pc22g19230, Pc18g06080
N0.HOG0001130	OG0000993	-		Pc21g22190, Pc20g11410, Pc21g13030
N0.HOG0001131	OG0000994	-		Pc20g14360, Pc22g02090, Pc20g02580
N0.HOG0001132	OG0000995	-		Pc22g14290, Pc21g18350, Pc21g23770
N0.HOG0001133	OG0000996	-		Pc12g11150, Pc16g12650, Pc21g16600
N0.HOG0001134	OG0000997	-		Pc12g11080, Pc22g19710, Pc16g00120
N0.HOG0001135	OG0000998	-		Pc20g14050, Pc12g05550, Pc22g11640
N0.HOG0001136	OG0000999	-		Pc20g12550, Pc13g09890, Pc22g12330
N0.HOG0001137	OG0001000	-		Pc16g02140, Pc22g18620, Pc13g10250
N0.HOG0001138	OG0001001	-		Pc07g00110, Pc24g00120, Pc03g00290
N0.HOG0001139	OG0001002	-		Pc22g27110, Pc07g00120, Pc04g00140
N0.HOG0001140	OG0001003	-		Pc21g13950, Pc06g00050, Pc16g07360
N0.HOG0001141	OG0001004	-		Pc06g00140, Pc13g04490, Pc15g01570
N0.HOG0001142	OG0001005	-		Pc13g13860, Pc16g08070, Pc06g00160
N0.HOG0001143	OG0001006	-		Pc06g00640, Pc13g06030, Pc24g02250
N0.HOG0001144	OG0001007	-		Pc20g15160, Pc06g01020, Pc13g11530
N0.HOG0001145	OG0001008	-		Pc21g04310, Pc13g13400, Pc06g01400
N0.HOG0001146	OG0001009	-		Pc06g02020, Pc15g01520, Pc16g02000
N0.HOG0001147	OG0001010	-		Pc12g03750, Pc24g02700, Pc06g02060
N0.HOG0001148	OG0001011	-		Pc18g06610, Pc06g02070, Pc15g01550
N0.HOG0001149	OG0001012	-		Pc18g06620, Pc22g26480, Pc06g02080
N0.HOG0001150	OG0001013	-		Pc06g02150, Pc15g01530, Pc23g00430
N0.HOG0001151	OG0001014	-		Pc22g02630, Pc06g02170, Pc13g00540
N0.HOG0001152	OG0001015	-		Pc06g02200, Pc13g00560, Pc22g11620
N0.HOG0001153	OG0001016	-		Pc06g02400, Pc14g02060, Pc17g00270
N0.HOG0001154	OG0001017	-		Pc09g00140, Pc23g00110, Pc24g00910
N0.HOG0001155	OG0001018	-		Pc22g24730, Pc12g03490, Pc13g13170
N0.HOG0001156	OG0001019	-		Pc16g04050, Pc20g02780, Pc12g03610
N0.HOG0001157	OG0001020	-		Pc12g03640, Pc22g24290, Pc12g06890
N0.HOG0001158	OG0001021	-		Pc21g15630, Pc20g04560, Pc12g07300
N0.HOG0001159	OG0001022	-		Pc12g11010, Pc20g04100, Pc17g00670
N0.HOG0001160	OG0001023	-		Pc22g22390, Pc12g14790, Pc21g08400
N0.HOG0001161	OG0001024	-		Pc15g01460, Pc14g02100, Pc12g03910
N0.HOG0001162	OG0001025	-		Pc21g05570, Pc20g11390, Pc12g07540
N0.HOG0001163	OG0001026	-		Pc12g00220, Pc22g16580, Pc13g04350
N0.HOG0001164	OG0001027	-		Pc24g01050, Pc12g04090, Pc12g04070
N0.HOG0001165	OG0001028	-		Pc12g07650, Pc12g06810, Pc21g07510
N0.HOG0001166	OG0001029	-		Pc22g17180, Pc22g23410, Pc12g07670
N0.HOG0001167	OG0001030	-		Pc21g10620, Pc16g06850, Pc12g07890
N0.HOG0001168	OG0001031	-		Pc21g02800, Pc12g00330, Pc22g20140
N0.HOG0001169	OG0001032	-		Pc12g04300, Pc20g03140, Pc13g13780
N0.HOG0001170	OG0001033	-		Pc12g08360, Pc12g00730, Pc19g00130
N0.HOG0001171	OG0001034	-		Pc15g00220, Pc24g00370, Pc12g08280
N0.HOG0001172	OG0001035	-		Pc12g12140, Pc12g11860, Pc16g13110
N0.HOG0001173	OG0001036	-		Pc13g09760, Pc20g13670, Pc12g00810
N0.HOG0001174	OG0001037	-		Pc12g12450, Pc21g18380, Pc22g20940
N0.HOG0001175	OG0001038	-		Pc12g12470, Pc21g06100, Pc21g08470
N0.HOG0001176	OG0001039	-		Pc12g12540, Pc12g13780, Pc20g12510
N0.HOG0001177	OG0001040	-		Pc22g02790, Pc12g01390, Pc24g01590
N0.HOG0001178	OG0001041	-		Pc20g06820, Pc21g23470, Pc12g12730
N0.HOG0001179	OG0001042	-		Pc21g13530, Pc12g16450, Pc12g02560
N0.HOG0001180	OG0001043	-		PCH_Pc16g10020, PCH_Pc21g19360, Pc12g01540
N0.HOG0001181	OG0001044	-		Pc21g15380, Pc12g01550, Pc15g00250
N0.HOG0001182	OG0001045	-		Pc12g05320, Pc13g11190, Pc12g10220
N0.HOG0001183	OG0001046	-		Pc21g21080, Pc12g05710, Pc22g21700
N0.HOG0001184	OG0001047	-		Pc16g00490, Pc12g13320, Pc21g05910
N0.HOG0001185	OG0001048	-		Pc16g13830, Pc13g09130, Pc12g13450
N0.HOG0001186	OG0001049	-		Pc16g10700, Pc12g02430, Pc16g05320
N0.HOG0001187	OG0001050	-		Pc12g06060, Pc16g14280, Pc22g16310
N0.HOG0001188	OG0001051	-		Pc20g05290, Pc12g02710, Pc16g06230
N0.HOG0001189	OG0001052	-		Pc22g09650, Pc12g02840, Pc12g10050
N0.HOG0001190	OG0001053	-		Pc12g10110, Pc16g14870, Pc20g14070
N0.HOG0001191	OG0001054	-		Pc12g10150, Pc13g13620, Pc13g14130
N0.HOG0001192	OG0001055	-		Pc21g11610, Pc16g10750, Pc12g02820
N0.HOG0001193	OG0001056	-		Pc20g10060, Pc13g10300, Pc12g06480
N0.HOG0001194	OG0001057	-		Pc20g09400, Pc12g03050, Pc13g03560
N0.HOG0001195	OG0001058	-		Pc21g13680, Pc12g06800, Pc21g13650
N0.HOG0001196	OG0001059	-		Pc21g14240, Pc22g01620, Pc12g07030
N0.HOG0001197	OG0001060	-		Pc12g10730, Pc22g12000, Pc22g25260
N0.HOG0001198	OG0001061	-		Pc13g00720, Pc18g06690, Pc24g00630
N0.HOG0001199	OG0001062	-		Pc13g00760, Pc46g00010, Pc18g06510
N0.HOG0001200	OG0001063	-		Pc18g06500, Pc22g07300, Pc13g00790
N0.HOG0001201	OG0001064	-		Pc14g01400, Pc16g12250, Pc13g02110
N0.HOG0001202	OG0001065	-		Pc20g11320, Pc22g15310, Pc13g02630
N0.HOG0001203	OG0001066	-		Pc13g02900, Pc21g17220, Pc21g02190
N0.HOG0001204	OG0001067	-		Pc16g02920, Pc13g01140, Pc18g06470
N0.HOG0001205	OG0001068	-		Pc16g12860, Pc13g01500, Pc16g14790
N0.HOG0001206	OG0001069	-		Pc13g03510, Pc22g07410, Pc20g12810
N0.HOG0001207	OG0001070	-		Pc16g00710, Pc13g04810, Pc22g11980
N0.HOG0001208	OG0001071	-		Pc13g14960, Pc18g04980, Pc21g14700
N0.HOG0001209	OG0001072	-		Pc13g14920, Pc22g01120, Pc22g21090
N0.HOG0001210	OG0001073	-		Pc15g01010, Pc21g21280, Pc13g05570
N0.HOG0001211	OG0001074	-		Pc22g24280, Pc18g03730, Pc13g15910
N0.HOG0001212	OG0001075	-		Pc22g23080, Pc13g06370, Pc22g16620
N0.HOG0001213	OG0001076	-		Pc21g04630, Pc20g02840, Pc13g06850
N0.HOG0001214	OG0001077	-		Pc13g11980, Pc15g00100, Pc13g07890
N0.HOG0001215	OG0001078	-		Pc13g08210, Pc22g00660, Pc21g09170
N0.HOG0001216	OG0001079	-		Pc18g03230, Pc13g08580, Pc22g03840
N0.HOG0001217	OG0001080	-		Pc13g08950, Pc22g12460, Pc17g00380
N0.HOG0001218	OG0001081	-		Pc22g02670, Pc13g13740, Pc20g01510
N0.HOG0001219	OG0001082	-		Pc21g22150, Pc13g14080, Pc20g08060
N0.HOG0001220	OG0001083	-		Pc21g21970, Pc14g00360, Pc15g01170
N0.HOG0001221	OG0001084	-		Pc18g01710, Pc14g00470, Pc22g04840
N0.HOG0001222	OG0001085	-		Pc16g09300, Pc14g01490, Pc21g13520
N0.HOG0001223	OG0001086	-		Pc15g01580, Pc16g13620, Pc16g01230
N0.HOG0001224	OG0001087	-		Pc15g00950, Pc22g13540, Pc22g09310
N0.HOG0001225	OG0001088	-		Pc18g04410, Pc20g03470, Pc16g07790
N0.HOG0001226	OG0001089	-		Pc18g04220, Pc16g11600, Pc16g03330
N0.HOG0001227	OG0001090	-		Pc16g08030, Pc20g03240, Pc22g02500
N0.HOG0001228	OG0001091	-		Pc16g08040, Pc16g15460, Pc21g05920
N0.HOG0001229	OG0001092	-		Pc20g01820, Pc21g10200, Pc16g08140
N0.HOG0001230	OG0001093	-		Pc16g03860, Pc16g08740, Pc22g20380
N0.HOG0001231	OG0001094	-		Pc21g09650, Pc16g03480, Pc16g05400
N0.HOG0001232	OG0001095	-		Pc16g05800, Pc24g00430, Pc21g09190
